sample	date	site	experiment	experiment_1	experiment_2	experiment_3	experiment_4	core	distance	depth	DNA_cDNA	name	sample_name
Sep22_INT_2_5_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	5	5	DNA	Sep22_INT_2_5_DNA_AV4V5	Sep22_INT_2_5
Sep22_INT_3_10_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	10	10	DNA	Sep22_INT_3_10_DNA_AV4V5	Sep22_INT_3_10
Sep22_INT_3_20_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	20	20	DNA	Sep22_INT_3_20_DNA_AV4V5	Sep22_INT_3_20
Sep22_INT_3_30_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	30	30	DNA	Sep22_INT_3_30_DNA_AV4V5	Sep22_INT_3_30
Sep22_INT_3_5_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	5	5	DNA	Sep22_INT_3_5_DNA_AV4V5	Sep22_INT_3_5
Sep24_INT_core_1_10_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	1	10	10	cDNA	Sep24_INT_core_1_10_cDNA_AV4V5	Sep24_INT_1_10
Sep24_INT_core_1_20_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	1	20	20	cDNA	Sep24_INT_core_1_20_cDNA_AV4V5	Sep24_INT_1_20
Sep24_INT_core_1_30_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	1	30	30	cDNA	Sep24_INT_core_1_30_cDNA_AV4V5	Sep24_INT_1_30
Sep24_INT_core_1_5_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	1	5	5	cDNA	Sep24_INT_core_1_5_cDNA_AV4V5	Sep24_INT_1_5
Sep24_INT_core_2_10_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	2	10	10	cDNA	Sep24_INT_core_2_10_cDNA_AV4V5	Sep24_INT_2_10
Sep24_INT_core_2_20_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	2	20	20	cDNA	Sep24_INT_core_2_20_cDNA_AV4V5	Sep24_INT_2_20
Sep24_INT_core_2_30_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	2	30	30	cDNA	Sep24_INT_core_2_30_cDNA_AV4V5	Sep24_INT_2_30
Sep24_INT_core_2_5_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	2	5	5	cDNA	Sep24_INT_core_2_5_cDNA_AV4V5	Sep24_INT_2_5
Sep24_INT_core_3_10_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	3	10	10	cDNA	Sep24_INT_core_3_10_cDNA_AV4V5	Sep24_INT_3_10
Sep24_INT_core_3_20_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	3	20	20	cDNA	Sep24_INT_core_3_20_cDNA_AV4V5	Sep24_INT_3_20
Sep24_INT_core_3_30_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	3	30	30	cDNA	Sep24_INT_core_3_30_cDNA_AV4V5	Sep24_INT_3_30
Sep24_INT_core_3_40_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	3	40	40	cDNA	Sep24_INT_core_3_40_cDNA_AV4V5	Sep24_INT_3_40
Sep24_INT_core_3_5_cDNA_AV4V5_trimmed	24-Sep	INT	core	swab_v_core	no	other	OK	3	5	5	cDNA	Sep24_INT_core_3_5_cDNA_AV4V5	Sep24_INT_3_5
Sept22_INT_1_10_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	10	10	cDNA	Sept22_INT_1_10_cDNA_AV4V5	Sep22_INT_1_10
Sept22_INT_1_20_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	20	20	cDNA	Sept22_INT_1_20_cDNA_AV4V5	Sep22_INT_1_20
Sept22_INT_1_30_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	30	30	cDNA	Sept22_INT_1_30_cDNA_AV4V5	Sep22_INT_1_30
Sept22_INT_1_5_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	5	5	cDNA	Sept22_INT_1_5_cDNA_AV4V5	Sep22_INT_1_5
Sept22_INT_2_10_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	10	10	cDNA	Sept22_INT_2_10_cDNA_AV4V5	Sep22_INT_2_10
Sept22_INT_2_20_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	20	20	cDNA	Sept22_INT_2_20_cDNA_AV4V5	Sep22_INT_2_20
Sept22_INT_2_30_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	30	30	cDNA	Sept22_INT_2_30_cDNA_AV4V5	Sep22_INT_2_30
Sept22_INT_2_5_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	5	5	cDNA	Sept22_INT_2_5_cDNA_AV4V5	Sep22_INT_2_5
Sept22_INT_3_10_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	10	10	cDNA	Sept22_INT_3_10_cDNA_AV4V5	Sep22_INT_3_10
Sept22_INT_3_20_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	20	20	cDNA	Sept22_INT_3_20_cDNA_AV4V5	Sep22_INT_3_20
Sept22_INT_3_30_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	30	30	cDNA	Sept22_INT_3_30_cDNA_AV4V5	Sep22_INT_3_30
Sept22_INT_3_5_cDNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	3	5	5	cDNA	Sept22_INT_3_5_cDNA_AV4V5	Sep22_INT_3_5
Sept24_INT_1_10_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	1	10	10	DNA	Sept24_INT_1_10_DNA_AV4V5	Sep24_INT_1_10
Sept24_INT_1_20_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	1	20	20	DNA	Sept24_INT_1_20_DNA_AV4V5	Sep24_INT_1_20
Sept24_INT_1_30_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	1	30	30	DNA	Sept24_INT_1_30_DNA_AV4V5	Sep24_INT_1_30
Sept24_INT_1_40_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	1	40	40	DNA	Sept24_INT_1_40_DNA_AV4V5	Sep24_INT_1_40
Sept24_INT_1_5_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	1	5	5	DNA	Sept24_INT_1_5_DNA_AV4V5	Sep24_INT_1_5
Sept24_INT_2_10_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	2	10	10	DNA	Sept24_INT_2_10_DNA_AV4V5	Sep24_INT_2_10
Sept24_INT_2_20_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	2	20	20	DNA	Sept24_INT_2_20_DNA_AV4V5	Sep24_INT_2_20
Sept24_INT_2_30_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	2	30	30	DNA	Sept24_INT_2_30_DNA_AV4V5	Sep24_INT_2_30
Sept24_INT_2_5_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	2	5	5	DNA	Sept24_INT_2_5_DNA_AV4V5	Sep24_INT_2_5
Sept24_INT_3_10_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	3	10	10	DNA	Sept24_INT_3_10_DNA_AV4V5	Sep24_INT_3_10
Sept24_INT_3_20_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	3	20	20	DNA	Sept24_INT_3_20_DNA_AV4V5	Sep24_INT_3_20
Sept24_INT_3_30_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	3	30	30	DNA	Sept24_INT_3_30_DNA_AV4V5	Sep24_INT_3_30
Sept24_INT_3_40_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	3	40	40	DNA	Sept24_INT_3_40_DNA_AV4V5	Sep24_INT_3_40
Sept24_INT_3_5_DNA_AV4V5_trimmed	24-Sep	INT	temporal	temporal	no	other	OK	3	5	5	DNA	Sept24_INT_3_5_DNA_AV4V5	Sep24_INT_3_5
